Event ID,Event Name,Event Size,Campus,Number of Weeks,Weeks,Week List,Room,Building,Timeslot,Duration (minutes),Assigned_RoomID,Assigned_Room_Number,Assigned_Campus,Assigned_Building,Assigned_Capacity,Assigned_Room_Type,Campus_Changed,Capacity_Utilization,Overcapacity
E:EXSSQZEXSK,Psychology Tutorial Course - Tutorial/A03,8.0,Central,5,"15, 16, 17, 18, 19","[15, 16, 17, 18, 19]",0228_11_11.06,40 George Square,Thursday 17:00,50,0422_J_J.05,J.05,Central,"Medical School, Teviot",60,Classroom Style,False,13.33,False
E:HSLY5LALLD,Psychology Tutorial Course - Tutorial/A13,8.0,Central,5,"15, 16, 17, 18, 19","[15, 16, 17, 18, 19]",0228_11_11.06,40 George Square,Monday 16:00,50,0335_02_2.3,2.3,Central,Lister Learning and Teaching Centre,40,Classroom Style,False,20.0,False
E:NUN8O1KYQ5,Systems Thinking in Health and Social Care - Tutorial,20.0,Central,5,"15, 16, 17, 18, 19","[15, 16, 17, 18, 19]",0335_02_2.1,Lister Learning and Teaching Centre,Wednesday 11:00,50,0201_01_1.08,1.08,Central,Appleton Tower,307,Lecture Theatre,False,6.51,False
E:TQZ9OAFUUS,Neurological Assessment in CAMHS - APS/27,40.0,Central,3,"15, 17, 19","[15, 17, 19]",0112_-1_B.02,Chrystal MacMillan Building,Friday 09:30,80,0591_-1_B1.11,B1.11,Holyrood,Outreach Centre,150,Classroom Style,True,26.67,False
E:EKLAJFOXUL,ELE - English for International Business Communication (EIBC) Group 1,14.0,Holyrood,4,"16, 17, 18, 19","[16, 17, 18, 19]",0564_03_3.15,St Leonards Land,Monday 11:00,110,0227_02_2.03,2.03,Central,50 George Square,18,Boardroom Style,True,77.78,False
E:HZGHCWY2LD,ELE - Academic Writing For In-Sessional Study (AWIS) Group 19,14.0,Central,3,"17, 18, 19","[17, 18, 19]",0103_01_1.B15,Forresthill,Thursday 10:00,120,0450_02_2.35,2.35,Central,Edinburgh Futures Institute (EFI),128,Classroom Style,False,10.94,False
E:UMMS7G8KDP,ELE - Academic Writing For In-Sessional Study (AWIS) Group 17,14.0,Central,4,"17, 18, 19, 20","[17, 18, 19, 20]",0008_00_G.252,Minto House,Tuesday 14:00,110,0001_01_1.265,1.265,Central,Old College,22,Boardroom Style,False,63.64,False
E:4EZY2ADRVO,ELE - Academic Writing For In-Sessional Study (AWIS) Group 16,14.0,Holyrood,4,"17, 18, 19, 20","[17, 18, 19, 20]",0551_-1M_M16,Patersons Land,Wednesday 15:00,110,0008_-1_B.153,B.153,Central,Minto House,15,Boardroom Style,True,93.33,False
E:37DJW3RRLD,ELE - Intercultural Communication Skills (ICS) Group 3,16.0,Central,4,"17, 18, 19, 20","[17, 18, 19, 20]",0300_00_NG.04,High School Yards Teaching Centre,Tuesday 14:00,110,0564_02_2.14,2.14,Holyrood,St Leonards Land,40,Classroom Style,True,40.0,False
E:GGIKN39BMM,ELE - Academic Writing For In-Sessional Study (AWIS) Group 18,14.0,Holyrood,4,"17, 18, 19, 20","[17, 18, 19, 20]",0551_-1M_M16,Patersons Land,Wednesday 11:00,110,0201_00_G.08,G.08,Central,Appleton Tower,193,Lecture Theatre,True,7.25,False
E:3QYK43P7TA,ELE - Seminar Discussion Skills (SDS) Group 9,16.0,Central,4,"17, 18, 19, 20","[17, 18, 19, 20]",0113_00_G.204,"Medical School, Teviot",Thursday 10:00,120,0110_02_2.01,2.01,Central,Alison House,25,Classroom Style,False,64.0,False
E:VJ6GYMBIMX,ELE - Academic Writing For In-Sessional Study (AWIS) Group 15,14.0,Holyrood,4,"17, 18, 19, 20","[17, 18, 19, 20]",0551_-1M_M16,Patersons Land,Tuesday 14:00,110,0335_00_G.17,G.17,Central,Lister Learning and Teaching Centre,14,Boardroom Style,True,100.0,False
E:355XYU4C1Z,ELE - Seminar Discussion Skills (SDS) Group 10,16.0,Central,4,"17, 18, 19, 20","[17, 18, 19, 20]",0008_00_G.252,Minto House,Friday 14:00,110,0001_02_2.347,2.347,Central,Old College,16,Boardroom Style,False,100.0,False
